ts_receiver,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,EMG
1734600904.2091613,0.991,-0.070,-0.018,-5.530,2.590,3.710,0.000
1734600904.3293562,0.991,-0.122,0.010,-1.890,0.630,3.360,0.000
1734600904.4485147,0.999,-0.097,0.005,-10.990,0.630,2.590,0.000
1734600904.6890028,0.982,-0.147,0.071,3.710,-2.380,-1.050,0.000
1734600905.049453,0.986,-0.156,0.030,3.290,-0.980,-2.730,0.000
1734600905.2895048,1.005,-0.098,0.008,-12.390,-4.060,-3.570,0.000
1734600905.350048,0.993,-0.053,0.005,7.280,-4.620,-5.110,0.000
1734600905.4695601,0.991,-0.091,0.017,10.290,-2.520,-4.900,0.000
1734600905.5287652,1.019,-0.103,-0.015,1.050,-0.770,-3.430,0.000
1734600905.5901577,1.005,-0.076,0.000,3.780,-4.340,-3.640,0.000
1734600905.6497488,1.000,-0.057,0.006,4.830,-6.090,-4.690,0.000
1734600905.7097552,1.006,-0.052,-0.002,4.410,-6.230,-5.880,0.000
1734600905.82853,1.000,-0.034,-0.012,9.590,-9.030,-6.160,0.000
1734600905.8306024,1.001,-0.021,-0.023,7.490,-9.730,-5.740,0.000
1734600906.009017,1.003,-0.031,-0.041,7.770,-10.710,-5.110,0.000
1734600906.0101023,1.024,-0.019,-0.059,8.260,-11.760,-6.650,0.000
1734600906.1299276,1.001,-0.041,-0.050,3.850,-10.360,-5.180,0.000
1734600906.309579,1.014,-0.007,-0.029,4.900,-15.190,-4.480,0.000
1734600906.3690088,0.954,0.029,-0.095,10.920,-10.570,-2.870,0.000
1734600906.3700154,0.985,0.030,-0.127,5.250,-9.170,-2.100,0.000
1734600906.4295886,0.952,-0.020,-0.126,-5.880,-7.140,0.070,0.000
1734600906.4895477,0.992,-0.050,-0.145,-3.850,-6.510,-3.010,0.000
1734600906.54901,0.998,-0.002,-0.089,-27.300,7.280,3.500,0.000
1734600906.550618,0.960,0.024,-0.055,-17.290,15.470,0.700,0.000
1734600906.6096988,1.058,-0.012,-0.097,-7.210,7.210,-0.210,0.000
1734600906.6688545,0.995,0.088,-0.062,5.670,3.080,-0.840,0.000
1734600906.7298608,1.010,-0.123,-0.085,6.090,12.320,-1.680,0.000
1734600906.7899837,1.000,0.030,-0.033,18.550,3.640,-3.010,0.000
1734600906.8495336,0.974,-0.055,-0.043,0.630,18.130,2.030,0.000
1734600906.9090114,0.977,-0.081,-0.053,-4.690,20.020,2.660,0.000
1734600906.910013,0.999,-0.069,-0.081,1.050,15.750,-0.910,0.000
1734600906.9699304,0.994,0.024,-0.057,-2.520,9.520,2.450,0.000
1734600907.0295172,0.996,0.020,-0.072,6.370,4.200,-0.630,0.000
1734600907.0895016,1.021,0.014,0.006,14.350,-0.280,-5.670,0.000
1734600907.1482909,1.011,-0.032,0.022,-4.270,4.410,-2.520,0.000
1734600907.1502554,0.990,0.013,0.019,-1.960,7.560,-4.340,0.000
1734600907.2100282,1.000,-0.002,0.037,-4.760,7.490,-4.270,0.000
1734600907.2698414,0.973,0.013,0.009,-7.490,5.460,-2.730,0.000
1734600907.3289006,1.023,0.011,-0.014,3.570,1.050,-4.130,0.000
1734600907.4494572,1.006,-0.028,0.009,2.730,-1.470,-0.700,0.000
1734600907.6893578,0.998,-0.041,0.011,6.440,0.000,-1.050,0.000
1734600907.7491024,1.008,-0.059,0.014,-2.030,0.980,2.170,0.000
1734600907.8083413,0.984,-0.013,0.034,-2.870,1.610,2.520,0.000
1734600907.8105557,1.004,0.008,0.042,-2.800,1.400,2.450,0.000
1734600907.930366,1.007,-0.021,0.046,1.890,5.880,-0.630,0.000
1734600907.989538,1.008,0.057,0.045,23.940,-6.090,-9.380,0.000
1734600908.050018,1.033,-0.050,0.023,18.830,-6.580,-6.440,0.000
1734600908.1098692,0.994,-0.105,0.025,-2.730,-9.520,-1.610,0.000
1734600908.1696064,0.995,0.001,-0.010,-13.300,-11.200,2.240,0.000
1734600908.1696064,1.009,0.043,-0.008,-5.110,-14.000,1.120,0.000
1734600908.2299957,1.026,0.027,-0.019,1.120,-19.880,3.850,0.000
1734600908.2887855,1.000,-0.047,0.042,-2.030,-15.120,3.430,0.000
1734600908.3487675,0.985,-0.020,-0.017,-13.160,-14.560,7.280,0.000
1734600908.3498244,1.013,0.045,-0.051,-9.030,-12.740,3.500,0.000
1734600908.410254,1.003,-0.054,-0.063,-13.090,-16.170,3.920,0.000
1734600908.4698138,1.000,-0.048,-0.063,-14.770,-13.090,3.500,0.000
1734600908.527873,0.995,0.016,-0.095,-15.050,-11.480,4.690,0.000
1734600908.7698858,0.999,-0.021,-0.082,-10.570,-25.130,0.840,0.000
1734600908.82945,1.000,-0.054,-0.083,-15.680,-16.240,1.120,0.000
1734600908.9491975,0.988,-0.045,-0.102,-17.430,-11.340,2.240,0.000
1734600909.0090454,1.015,-0.048,-0.109,-19.810,-17.360,3.150,0.000
1734600910.8682797,0.980,0.006,-0.054,1.540,-10.150,0.910,0.000
1734600911.4699013,1.013,-0.042,-0.213,7.910,-27.440,0.770,0.000
1734600911.7083004,0.948,-0.016,-0.161,-7.910,-15.890,1.190,0.000
1734600911.76969,0.948,0.043,-0.224,-18.270,-2.520,0.420,0.000
1734600912.1294162,0.982,0.010,-0.255,0.490,-6.860,-4.270,0.000
1734600912.3690257,0.990,0.061,-0.012,8.120,20.930,-1.610,0.000
1734600912.4299462,1.004,-0.035,-0.030,4.340,-3.010,0.210,0.000
