ts_receiver,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,EMG
1734657922.7080896,0.977,-0.107,-0.102,1.680,-2.310,0.840,76.000
1734657922.7090867,0.978,-0.098,-0.109,1.260,-1.890,0.770,75.000
1734657922.9482057,0.975,-0.102,-0.113,-0.210,0.490,0.770,69.000
1734657923.0080163,0.978,-0.097,-0.104,2.660,-0.770,0.770,67.000
1734657923.1278718,0.970,-0.134,-0.088,0.770,-1.400,0.560,70.000
1734657923.1898398,0.973,-0.081,-0.163,4.200,-1.540,2.520,68.000
1734657923.309422,0.973,-0.139,-0.157,1.750,2.100,2.870,72.000
1734657923.3680732,0.965,-0.134,-0.055,5.390,1.260,1.540,68.000
1734657923.369129,0.960,-0.154,-0.105,0.070,-0.840,1.890,70.000
1734657923.4282064,0.970,-0.099,-0.096,2.380,-4.200,3.500,68.000
1734657923.668902,0.994,-0.138,-0.124,1.470,-3.220,3.990,71.000
1734657923.9684277,0.968,-0.127,-0.115,5.250,1.610,5.320,68.000
1734657924.269072,0.967,-0.132,-0.070,7.000,1.470,5.530,70.000
1734657924.3291445,0.967,-0.172,-0.097,5.040,0.210,5.180,67.000
1734657924.3885806,0.967,-0.146,-0.094,5.180,-0.140,4.970,79.000
1734657924.4478092,0.966,-0.170,-0.096,2.940,-1.400,4.550,67.000
1734657924.9292638,0.985,-0.191,-0.100,1.680,-4.480,3.640,68.000
1734657924.9292638,0.943,-0.214,-0.218,-3.080,-22.050,-4.550,67.000
1734657924.993265,0.956,-0.173,-0.201,-1.400,-22.050,-3.010,71.000
1734657925.1112676,0.969,-0.204,-0.255,-0.070,-23.730,-2.940,71.000
1734657925.4075062,0.950,-0.144,-0.220,7.280,-25.480,-1.750,72.000
1734657925.468128,0.842,-0.145,-0.459,10.780,-41.090,-6.510,69.000
1734657925.5886762,0.839,-0.155,-0.513,11.480,-43.050,-6.930,63.000
1734657925.7695808,0.810,-0.153,-0.530,7.140,-44.380,-7.070,78.000
1734657925.8290622,0.749,-0.169,-0.588,8.750,-41.650,-5.880,69.000
1734657925.888255,0.574,-0.219,-0.722,0.980,-43.120,-2.100,69.000
1734657925.8889802,0.545,-0.196,-0.754,5.950,-45.570,-3.850,69.000
1734657926.0092213,0.510,-0.182,-0.790,-5.390,-46.200,1.470,68.000
1734657926.1282973,0.379,-0.164,-0.858,-10.780,-34.300,0.560,68.000
1734657926.187245,0.344,-0.167,-0.896,-4.410,-42.000,-2.030,70.000
1734657926.4284427,0.293,-0.160,-0.941,-17.430,-52.360,1.540,70.000
1734657926.4892406,0.225,-0.145,-0.934,-19.040,-60.410,3.850,71.000
1734657926.5491931,0.184,-0.105,-0.946,-23.800,-65.030,8.330,70.000
1734657926.7290344,0.022,-0.058,-0.937,-36.680,-62.930,7.350,68.000
1734657926.9087667,-0.050,-0.021,-0.917,-20.440,-52.010,-0.140,69.000
1734657927.2088745,-0.165,0.007,-0.838,1.540,-8.960,-12.880,67.000
1734657927.3290658,-0.148,0.051,-0.829,8.330,16.520,-11.410,69.000
1734657927.4478838,-0.105,0.044,-0.913,-5.880,23.870,-6.160,70.000
1734657927.6876945,-0.206,-0.007,-0.971,7.700,-6.790,-4.550,67.000
1734657927.809038,-0.063,0.080,-0.884,12.040,16.380,-0.070,68.000
1734657927.928226,0.031,0.044,-0.968,1.610,22.400,10.710,68.000
1734657928.0473778,0.056,0.080,-0.967,-10.150,20.580,11.270,70.000
1734657928.349452,0.048,-0.049,-0.951,9.870,11.760,-3.570,69.000
1734657928.4680765,0.259,-0.082,-0.878,20.300,51.800,-0.070,67.000
1734657928.7683828,0.334,-0.081,-0.925,-4.620,39.130,7.630,67.000
1734657929.0680594,0.333,-0.057,-0.895,9.800,28.560,4.620,67.000
1734657929.1280172,0.467,-0.040,-0.827,-9.730,49.490,10.920,68.000
1734657929.24807,0.622,-0.116,-0.717,-5.460,35.280,8.470,68.000
1734657929.2490194,0.693,-0.121,-0.658,7.070,30.240,3.990,68.000
1734657929.7280593,0.885,-0.126,-0.410,10.290,63.000,7.700,67.000
1734657929.9078078,0.930,-0.196,-0.213,-28.280,34.580,12.040,69.000
1734657930.0897021,0.939,-0.203,-0.216,-5.180,22.470,9.380,70.000
1734657930.1485388,0.968,-0.183,-0.152,-9.730,25.830,12.110,68.000
1734657930.6897454,0.936,-0.197,-0.130,-9.590,24.150,11.200,72.000
1734657931.1687565,0.959,-0.196,-0.037,0.840,-2.240,-0.840,68.000
1734657931.2286308,0.968,-0.209,-0.042,6.020,-4.130,-1.890,67.000
1734657931.347485,0.980,-0.219,-0.017,7.000,-2.870,-2.450,67.000
1734657931.4092793,0.956,-0.242,-0.085,15.330,-5.180,-5.320,70.000
1734657931.948826,0.962,-0.194,-0.142,6.860,-10.500,-1.960,68.000
1734657932.129037,0.904,-0.182,-0.371,-4.970,-45.990,-6.230,71.000
1734657932.4886227,0.887,-0.177,-0.429,-15.190,-50.540,-9.170,71.000
1734657932.5495474,0.819,-0.141,-0.509,4.200,-49.630,-8.260,67.000
1734657934.8898807,0.793,-0.142,-0.534,7.070,-43.260,-6.860,70.000
1734657935.0104287,0.516,-0.144,-0.827,-6.580,-51.520,1.610,69.000
1734657935.908804,0.380,-0.113,-0.868,-9.520,-51.590,2.660,67.000
